Atomic Number,Atomic Mass,Chemical Element Name,Symbol,Electronegativity,Density,Discoverer,,,
1,1.0079,Hydrogen,H,2.2,0.0899 g/L,H. Cavendish,,,
2,4.0026,Helium,He,,0.1785 g/L,P. Janssen and N. Lockyer,,,
3,6.941,Lithium,Li,0.98,0.534 g/cc,A. Arfwedson,,,
4,9.0122,Beryllium,Be,1.57,1.848 g/cc,N. Vauquelin,,,
5,10.811,Boron,B,2.04,2.34 g/cc,L. Gay-Lussac and L.J. Thénard,,,
6,12.0107,Carbon,C,2.55,2.26 g/cc,,,,
7,14.0067,Nitrogen,N,3.04,1.2506 g/L,D. Rutherford,,,
8,15.9994,Oxygen,O,3.44,1.429 g/L,W. Scheele,,,
9,18.9984,Fluorine,F,3.98,1.696 g/L,A.-M. Ampère,,,
10,20.1797,Neon,Ne,,0.9 g/L,W. Ramsay and W. Travers,,,
11,22.9897,Sodium,Na,0.93,0.971 g/cc,H. Davy,,,
12,24.305,Magnesium,Mg,1.31,1.738 g/cc,J. Black,,,
13,26.9815,Aluminum,Al,1.61,2.702 g/cc,H.C.Ørsted,,,
14,28.0855,Silicon,Si,1.9,2.33 g/cc,J. Berzelius,,,
15,30.9738,Phosphorus,P,2.19,1.82 g/cc,H. Brand,,,
16,32.065,Sulfur,S,2.58,2.07 g/cc,,,,
17,35.453,Chlorine,Cl,3.16,3.214 g/L,W. Scheele,,,
18,39.948,Argon,Ar,,1.7824 g/L,Lord Rayleigh and W. Ramsay,,,
19,39.0983,Potassium,K,0.82,0.862 g/cc,H. Davy,,,
20,40.078,Calcium,Ca,1,1.55 g/cc,H. Davy,,,
21,44.9559,Scandium,Sc,1.36,2.99 g/cc,F. Nilson,,,
22,47.867,Titanium,Ti,1.54,4.54 g/cc,W. Gregor,,,
23,50.9415,Vanadium,V,1.63,6.11 g/cc,M. del Río,,,
24,51.9961,Chromium,Cr,1.66,7.19 g/cc,N. Vauquelin,,,
25,54.938,Manganese,Mn,1.55,7.43 g/cc,W. Scheele,,,
26,55.845,Iron,Fe,1.83,7.874 g/cc,,,,
27,58.9332,Cobalt,Co,1.88,8.9 g/cc,G. Brandt,,,
28,58.6934,Nickel,Ni,1.91,8.9 g/cc,F. Cronstedt,,,
29,63.546,Copper,Cu,1.9,8.96 g/cc,,,,
30,65.39,Zinc,Zn,1.65,7.13 g/cc,,,,
31,69.723,Gallium,Ga,1.81,5.907 g/cc,P. E. L. de Boisbaudran,,,
32,72.64,Germanium,Ge,2.01,5.323 g/cc,C. A. Winkler,,,
33,74.9216,Arsenic,As,2.18,5.72 g/cc,,,,
34,78.96,Selenium,Se,2.55,4.79 g/cc,J. Berzelius and G. Gahn,,,
35,79.904,Bromine,Br,2.96,3.119 g/cc,J. Balard and C. Löwig,,,
36,83.8,Krypton,Kr,3,3.75 g/L,W. Ramsay and W. Travers,,,
37,85.4678,Rubidium,Rb,0.82,1.63 g/cc,R. Bunsen and G. R. Kirchhoff,,,
38,87.62,Strontium,Sr,0.95,2.54 g/cc,W. Cruikshank,,,
39,88.9059,Yttrium,Y,1.22,4.47 g/cc,J. Gadolin,,,
40,91.224,Zirconium,Zr,1.33,6.51 g/cc,H. Klaproth,,,
41,92.9064,Niobium,Nb,1.6,8.57 g/cc,C. Hatchett,,,
42,95.94,Molybdenum,Mo,2.16,10.22 g/cc,W. Scheele,,,
43,98,Technetium,Tc,1.9,11.5 g/cc,C. Perrier and E. Segrè,,,
44,101.07,Ruthenium,Ru,2.2,12.37 g/cc,K. Claus,,,
45,102.9055,Rhodium,Rh,2.28,12.41 g/cc,H. Wollaston,,,
46,106.42,Palladium,Pd,2.2,12.02 g/cc,W. H. Wollaston,,,
47,107.8682,Silver,Ag,1.93,10.5 g/cc,,,,
48,112.411,Cadmium,Cd,1.69,8.65 g/cc,"S. L Hermann, F. Stromeyer, and J.C.H. Roloff",,,
49,114.818,Indium,In,1.78,7.31 g/cc,F. Reich and T. Richter,,,
50,118.71,Tin,Sn,1.96,7.31 g/cc,,,,
51,121.76,Antimony,Sb,2.05,6.684 g/cc,,,,
52,127.6,Tellurium,Te,2.1,6.24 g/cc,F.-J.M. von Reichenstein,,,
53,126.9045,Iodine,I,2.66,4.93 g/cc,B. Courtois,,,
54,131.293,Xenon,Xe,2.6,5.9 g/L,W. Ramsay and W. Travers,,,
55,132.9055,Cesium,Cs,0.79,1.873 g/cc,R. Bunsen and R. Kirchhoff,,,
56,137.327,Barium,Ba,0.89,3.59 g/cc,W. Scheele,,,
57,138.9055,Lanthanum,La,1.1,6.15 g/cc,G. Mosander,,,
58,140.116,Cerium,Ce,1.12,6.77 g/cc,"H. Klaproth, J. Berzelius, and W. Hisinger",,,
59,140.9077,Praseodymium,Pr,1.13,6.77 g/cc,C. A. von Welsbach,,,
60,144.24,Neodymium,Nd,1.14,7.01 g/cc,C. A. von Welsbach,,,
61,145,Promethium,Pm,1.13,7.3 g/cc,"S. Wu, E.G. Segrè and H. Bethe",,,
62,150.36,Samarium,Sm,1.17,7.52 g/cc,P.E.L. de Boisbaudran,,,
63,151.964,Europium,Eu,1.2,5.24 g/cc,E.-A. Demarçay,,,
64,157.25,Gadolinium,Gd,1.2,7.895 g/cc,J. C. G. de Marignac,,,
65,158.9253,Terbium,Tb,1.1,8.23 g/cc,G. Mosander,,,
66,162.5,Dysprosium,Dy,1.22,8.55 g/cc,P.E.L. de Boisbaudran,,,
67,164.9303,Holmium,Ho,1.23,8.8 g/cc,J.-L. Soret and M. Delafontaine,,,
68,167.259,Erbium,Er,1.24,9.07 g/cc,G. Mosander,,,
69,168.9342,Thulium,Tm,1.25,9.32 g/cc,T. Cleve,,,
70,173.04,Ytterbium,Yb,1.1,6.9 g/cc,J.C.G. de Marignac,,,
71,174.967,Lutetium,Lu,1.27,9.84 g/cc,C. A. von Welsbach and G. Urbain,,,
72,178.49,Hafnium,Hf,0.3,13.31 g/cc,D. Coster and G. von Hevesy,,,
73,180.9479,Tantalum,Ta,1.5,16.65 g/cc,G. Ekeberg,,,
74,183.84,Tungsten,W,2.36,19.35 g/cc,W. Scheele,,,
75,186.207,Rhenium,Re,1.9,21.04 g/cc,M. Ogawa,,,
76,190.23,Osmium,Os,2.2,22.6 g/cc,S. Tennant,,,
77,196.9665,Iridium,Ir,2.2,22.4 g/cc,S. Tennant,,,
78,192.217,Platinum,Pt,2.28,21.45 g/cc,A. de Ulloa,,,
79,195.078,Gold,Au,2.54,19.32 g/cc,,,,
80,200.59,Mercury,Hg,2,13.546 g/cc,,,,
81,204.3833,Thallium,Tl,1.62,11.85 g/cc,W. Crookes,,,
82,207.2,Lead,Pb,1.87,11.35 g/cc,,,,
83,208.9804,Bismuth,Bi,2.02,9.75 g/cc,,,,
84,209,Polonium,Po,2,9.3 g/cc,P. and M. Curie,,,
85,210,Astatine,At,2.2,,"R. Corson, R. MacKenzie and E. Segrè",,,
86,222,Radon,Rn,2.2,9.73 g/L,E. Rutherford and R. B. Owens,,,
87,223,Francium,Fr,>0.79[en 1],,M. Perey,,,
88,226,Radium,Ra,0.9,5.5 g/cc,P. and M. Curie,,,
89,227,Actinium,Ac,1.1,10.07 g/cc,F. O. Giesel,,,
90,232.0381,Thorium,Th,1.3,11.724 g/cc,J. Berzelius,,,
91,231.0359,Protactinium,Pa,1.5,15.4 g/cc,O. H. Göhring and K. Fajans,,,
92,238.0289,Uranium,U,1.38,18.95 g/cc,H. Klaproth,,,
93,237,Neptunium,Np,1.36,20.2 g/cc,E.M. McMillan and H. Abelson,,,
94,244,Plutonium,Pu,1.28,19.84 g/cc,"Glenn T. Seaborg, Arthur C. Wahl, W. Kennedy and E.M. McMillan",,,
95,243,Americium,Am,1.3,13.67 g/cc,"G. T. Seaborg, R. A. James, O. Morgan and A. Ghiorso",,,
96,247,Curium,Cm,1.3,13.5 g/cc,"Glenn T. Seaborg, Ralph A. James and Albert Ghiorso",,,
97,247,Berkelium,Bk,1.3,14.78 g/cc,"G. Thompson, A. Ghiorso and G. T. Seaborg (University of California, Berkeley)",,,
98,251,Californium,Cf,1.3,15.1 g/cc,"S. G. Thompson, K. Street, Jr., A. Ghiorso and G. T. Seaborg (University of California, Berkeley)",,,
99,252,Einsteinium,Es,1.3,,"A. Ghiorso et al. (Argonne Laboratory, Los Alamos Laboratory and University of California, Berkeley)",,,
100,257,Fermium,Fm,1.3,,"A. Ghiorso et al. (Argonne Laboratory, Los Alamos Laboratory and University of California, Berkeley)",,,
101,258,Mendelevium,Md,1.3,,"A. Ghiorso, G. Harvey, R. Choppin, S. G. Thompson and G. T. Seaborg (Berkeley Radiation Laboratory)",,,
102,259,Nobelium,No,1.3,,"E. D. Donets, V. A. Shchegolev and V. A. Ermakov (JINR in Dubna)",,,
103,262,Lawrencium,Lr,no data,,"A. Ghiorso, T. Sikkeland, E. Larsh and M. Latimer (Berkeley Radiation Laboratory)",,,
104,261,Rutherfordium,Rf,no data,,A. Ghiorso et al. (Berkeley Radiation Laboratory) and I. Zvara et al. (JINR in Dubna),,,
105,262,Dubnium,Db,no data,,A. Ghiorso et al. (Berkeley Radiation Laboratory) and V. A. Druin et al. (JINR in Dubna),,,
106,266,Seaborgium,Sg,no data,,A. Ghiorso et al. (Berkeley Radiation Laboratory),,,
107,264,Bohrium,Bh,no data,,G.Münzenberg et al. (GSI in Darmstadt),,,
108,277,Hassium,Hs,no data,,"G. Münzenberg, P. Armbruster et al. (GSI in Darmstadt)",,,
109,268,Meitnerium,Mt,no data,,"G. Münzenberg, P. Armbruster et al. (GSI in Darmstadt)",,,
110,261.9,Darmstadtium,Ds,no data,,S. Hofmann et al. (GSI in Darmstadt),,,
111,271.8,Roentgenium,Rg,no data,,S. Hofmann et al. (GSI in Darmstadt),,,
112,285,Copernicium,Cn,no data,,S. Hofmann et al. (GSI in Darmstadt),,,
113,286,Ununtrium,Uut,no data,,"Y. Oganessian et al. (JINR in Dubna) and K. Morita et al. (RIKEN in Wako, Japan)",,,
114,289,Flerovium,Fl,no data,,Y. Oganessian et al. (JINR in Dubna),,,
115,288,Ununpentium,Uup,no data,,Y. Oganessian et al. (JINR in Dubna),,,
116,293,Livermorium,Lv,no data,,Y. Oganessian et al. (JINR in Dubna),,,
117,260.9,Ununseptium,Uus,no data,,Y. Oganessian et al. (JINR in Dubna),,,
118,294,Ununoctium,Uuo,no data,,Y. Oganessian et al. (JINR in Dubna),,,
